t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,target
25,24,33,30,1,33,15,33,15,32,33,23,33,15,33,9,33,28,33,30,33,19,1,0,17,1,19,33,26,29,26,29,26,29,23,32,22,32,30,8,33,29,32,8,32,20,33,8,33,31,33
14,33,15,33,26,29,23,25,24,27,2,8,33,31,0,10,4,0,6,16,6,16,6,0,17,0,12,3,1,0,2,3,2,8,2,0,2,3,2,3,2,27,2,1,2,28,2,27,2,7,2
25,31,33,9,2,27,2,0,5,6,4,0,1,0,11,0,8,2,27,23,32,14,33,25,23,33,25,31,25,23,25,23,25,31,25,23,25,24,25,24,25,31,25,23,33,13,3,12,3,7,25
16,5,0,10,5,0,3,13,0,31,28,33,23,29,32,20,32,31,28,31,32,28,2,0,28,33,28,2,28,31,28,31,28,31,28,33,28,33,30,33,28,33,23,32,22,32,31,25,24,27,28
2,28,33,29,26,33,19,0,11,0,13,2,3,7,3,12,0,31,25,23,29,26,33,13,1,26,33,26,29,26,33,26,33,26,33,26,29,26,33,26,29,32,26,33,26,33,14,32,18,32,26
8,30,8,32,30,33,9,33,28,2,1,7,33,30,33,23,33,32,33,28,33,31,33,22,33,9,33,26,33,22,33,27,23,27,2,0,13,1,0,7,0,11,0,8,2,9,33,8,33,26,33
16,5,16,5,6,4,0,1,7,0,1,13,1,7,0,4,10,5,0,4,0,4,0,4,0,4,6,4,6,4,6,4,4,10,4,0,4,10,4,6,5,0,6,0,12,3,13,3,7,3,4
19,1,2,0,21,0,10,4,6,0,13,33,20,23,27,23,25,23,32,23,29,23,29,23,33,19,23,33,23,25,23,25,23,29,26,33,9,2,8,32,20,33,20,32,20,33,31,28,31,25,23
8,32,20,32,30,32,29,27,24,27,33,13,27,23,27,2,27,2,27,24,27,2,27,33,27,27,33,30,8,2,8,2,27,24,31,32,18,32,8,32,15,33,28,31,0,4,6,5,10,0,27
31,32,20,32,12,0,12,3,12,0,12,0,12,0,12,0,12,0,21,12,3,12,0,12,3,13,3,0,11,0,13,33,23,27,33,27,33,26,33,15,32,18,32,22,32,2,0,17,1,30,12
26,33,13,3,13,3,12,3,2,7,3,0,1,9,33,9,33,9,2,9,2,9,2,9,33,9,33,9,9,33,30,9,33,23,25,23,33,32,23,29,23,25,23,27,23,27,23,33,30,32,9
11,0,19,0,13,2,27,33,31,33,29,32,29,33,13,10,0,10,5,10,4,10,5,10,4,10,0,10,0,10,4,6,10,4,10,4,0,13,33,31,0,31,25,31,24,27,24,25,24,31,10
31,24,25,24,31,0,31,25,23,25,24,27,33,27,23,27,23,27,33,27,2,27,33,27,24,27,33,19,27,24,27,24,31,0,13,2,9,2,28,31,33,14,33,13,1,13,2,9,2,0,27
15,33,18,33,23,25,5,16,5,16,5,6,5,10,5,6,5,10,5,10,5,6,5,16,5,10,0,21,0,17,0,13,2,13,1,17,0,10,0,19,33,31,24,25,31,0,4,6,16,5,5
17,0,19,0,10,5,2,13,2,0,6,2,32,2,0,2,32,2,1,2,13,2,8,2,3,2,32,2,7,0,1,17,1,3,7,0,12,3,12,0,2,9,2,7,0,11,0,1,2,1,2
28,2,21,1,21,1,19,21,0,21,1,21,0,21,1,21,1,21,1,21,0,1,0,19,33,32,30,33,22,32,23,29,23,32,29,32,33,22,33,18,33,9,33,9,33,19,0,13,3,0,21
19,1,3,0,31,24,27,33,26,29,26,29,33,13,1,21,1,4,10,5,4,0,4,0,4,0,10,4,6,4,0,4,10,4,10,4,0,2,13,3,0,10,4,10,5,16,5,10,5,6,4
24,27,33,20,33,18,33,9,33,23,27,33,13,1,21,0,21,0,1,3,7,1,17,0,10,0,12,0,3,22,32,22,33,22,32,22,32,22,32,22,33,22,32,22,33,22,32,22,33,18,22
16,6,16,6,0,19,33,22,33,23,32,29,23,25,31,25,24,25,24,25,23,21,0,21,0,21,0,21,0,21,1,21,1,21,0,21,1,21,0,21,1,17,1,30,8,2,28,2,9,33,21
22,33,15,32,8,32,22,32,8,30,1,30,33,30,8,33,28,31,32,33,20,33,13,2,9,2,3,0,6,4,6,0,10,4,10,4,10,4,10,5,10,4,10,0,10,0,10,0,10,5,10
1,13,1,21,1,0,4,0,12,0,13,33,13,3,13,33,13,1,21,13,3,13,2,13,2,13,33,13,33,13,1,2,28,2,0,6,0,13,33,9,2,27,33,31,25,31,28,2,13,0,13
14,32,26,29,26,29,26,33,26,29,26,26,29,26,29,26,33,26,33,26,29,32,23,29,32,31,25,24,27,2,28,2,13,0,12,3,2,0,4,6,4,6,16,6,0,5,6,5,6,5,26
26,33,32,15,33,14,33,26,33,29,33,19,1,3,1,22,33,14,22,33,22,32,22,33,22,33,22,32,22,32,31,22,33,22,32,31,28,33,32,18,33,14,32,20,32,20,33,8,0,11,22
33,32,14,32,2,7,3,13,31,32,23,31,33,31,28,31,0,31,25,31,28,31,32,31,0,31,25,31,25,24,27,24,31,33,15,33,30,8,32,30,1,2,28,31,24,31,33,22,32,33,31
15,33,32,14,32,8,0,6,0,31,32,18,32,22,32,15,32,20,32,33,24,27,24,31,24,25,24,27,24,27,24,25,24,31,24,25,24,27,24,27,33,19,1,30,32,22,32,14,32,31,24
13,33,28,31,0,2,7,0,12,3,12,0,11,0,21,0,26,29,26,33,26,29,26,33,26,33,26,33,26,29,26,33,26,33,26,29,26,29,33,32,30,32,30,8,32,20,33,22,32,30,26
15,32,14,32,20,32,18,33,14,33,26,33,18,33,18,32,18,32,18,32,18,33,18,32,18,32,18,32,18,33,9,33,8,30,8,0,10,4,10,5,10,5,0,17,1,3,12,0,2,9,18
4,6,16,6,16,5,0,10,0,11,0,3,13,0,2,7,2,7,2,9,2,2,3,2,3,12,2,3,2,2,0,2,27,2,9,33,31,32,8,30,8,2,32,33,28,33,19,33,30,33,2
18,33,28,33,15,33,20,32,22,32,8,30,32,29,33,20,32,2,32,15,0,10,0,7,3,0,19,0,19,0,4,0,4,0,2,0,4,0,12,0,3,12,0,7,1,2,13,2,27,33,0
26,29,33,22,33,23,33,26,29,33,31,0,11,0,4,0,12,0,6,4,0,4,10,30,8,30,8,30,32,30,32,30,1,30,32,30,8,30,8,30,8,30,33,22,32,29,32,2,7,2,30
22,33,20,32,15,33,15,32,2,15,32,15,32,15,33,15,33,15,33,15,33,15,33,15,32,29,32,29,23,27,33,18,32,33,26,33,29,33,15,33,19,1,21,1,30,1,0,10,0,6,15
19,0,2,28,2,7,1,19,33,28,31,0,23,29,23,25,23,25,23,32,23,33,23,27,23,32,23,27,23,32,23,33,20,32,22,33,31,25,31,28,31,28,2,27,33,20,33,26,33,8,23
17,0,31,25,23,32,8,30,32,23,27,24,25,31,33,22,32,14,33,18,32,23,25,23,25,23,25,24,25,24,25,31,25,23,25,24,25,23,25,31,25,31,25,23,33,23,32,15,32,23,25
27,2,3,13,33,27,24,25,24,31,28,33,28,31,4,0,4,6,4,10,5,4,6,4,10,4,0,8,4,10,4,10,5,0,10,4,6,16,6,0,5,10,5,6,16,6,5,16,5,6,4
14,33,8,33,18,32,7,3,7,0,7,1,7,2,7,1,7,0,7,0,7,1,7,0,7,0,11,0,7,0,6,4,10,5,6,4,6,4,0,7,0,2,9,33,32,2,28,31,33,13,7
16,6,4,10,5,16,5,6,0,23,33,23,33,23,29,23,25,23,32,23,25,23,33,23,32,29,23,33,23,27,23,27,33,19,33,9,2,8,32,14,32,22,32,22,32,30,33,19,1,0,23
32,8,32,15,33,19,33,12,3,12,0,12,0,12,0,12,3,12,0,12,0,12,0,12,0,31,24,31,28,33,29,32,31,24,31,32,29,26,29,32,33,32,8,30,32,22,32,23,27,33,12
16,6,5,6,16,6,5,10,4,10,0,6,0,17,0,11,0,1,3,5,10,4,6,5,16,5,6,5,6,5,6,5,16,5,6,5,6,5,0,6,0,7,1,30,32,8,33,20,33,13,5
12,3,2,1,2,3,1,21,1,3,0,7,1,7,0,2,28,0,10,0,8,0,5,0,3,0,11,0,6,0,6,0,21,1,0,6,16,5,16,5,16,6,16,6,0,2,8,0,8,30,0
24,25,24,31,24,31,33,6,0,7,3,6,0,6,4,6,5,6,0,6,16,6,5,6,5,6,4,10,5,10,5,10,4,6,5,10,4,6,0,6,5,0,5,16,5,6,5,0,7,1,6
2,0,6,5,16,5,6,5,10,2,27,2,28,2,9,2,8,2,9,2,9,2,3,2,28,2,3,2,13,1,13,2,28,2,9,2,9,2,0,3,1,17,0,17,1,3,7,2,8,2,2
21,0,21,1,13,1,19,1,2,8,0,10,4,10,0,13,1,13,1,13,3,13,33,8,22,33,22,33,22,32,22,33,22,32,22,33,22,33,22,32,22,33,22,33,30,33,23,33,8,30,22
8,33,9,2,9,2,8,2,0,7,3,2,3,0,11,0,7,3,1,32,20,32,31,32,2,32,30,32,8,32,15,32,23,32,29,23,32,18,32,29,23,32,30,1,7,1,7,0,1,30,32
32,30,33,18,32,31,28,2,9,33,14,33,4,0,4,6,4,6,4,6,0,2,4,0,4,6,4,6,4,6,4,0,12,0,19,0,11,0,19,0,10,5,6,0,19,0,5,6,0,7,4
1,17,0,13,0,6,16,6,0,7,1,7,1,17,0,21,1,7,1,19,33,23,32,18,33,18,33,13,18,33,18,33,18,33,18,32,18,32,18,32,18,33,18,33,22,33,27,23,29,26,18
32,18,14,33,14,32,14,33,14,32,14,32,14,33,14,33,14,33,14,32,14,33,28,31,25,31,25,23,27,24,25,31,0,4,6,5,10,4,0,31,24,27,23,29,32,15,32,29,33,27,14
1,19,0,6,16,5,16,5,31,33,31,25,31,0,31,24,31,24,31,33,31,28,33,32,31,33,31,28,31,24,25,31,32,20,33,23,27,2,7,3,2,32,8,32,22,32,15,32,33,27,31
15,32,2,28,31,0,31,28,33,29,23,25,24,27,4,0,4,0,4,10,4,6,4,6,5,4,10,4,0,4,6,4,6,4,0,7,0,1,0,7,0,10,4,6,0,1,21,1,21,1,4
15,32,7,0,7,2,7,3,7,1,21,7,3,7,2,7,1,7,1,7,1,21,1,21,1,7,3,13,2,32,15,33,31,25,23,32,22,32,29,33,26,33,32,14,33,28,31,25,24,27,7
5,16,6,4,10,0,4,10,4,6,16,21,0,21,0,10,21,1,21,1,21,1,21,1,21,1,21,1,21,0,21,0,19,33,8,30,1,19,0,19,33,28,33,22,32,29,33,9,33,20,21
31,28,31,25,31,28,2,8,0,12,3,7,1,2,0,12,0,1,3,2,3,7,3,12,3,1,3,0,3,2,3,2,3,0,3,1,3,2,32,23,27,24,31,33,27,23,32,31,0,7,3
7,1,21,0,1,0,11,0,13,3,1,19,33,13,33,13,2,13,1,13,0,13,0,13,33,13,3,13,33,13,33,13,1,0,10,0,4,0,4,0,2,1,19,33,26,29,26,29,26,29,13
6,5,0,12,0,17,0,4,10,0,11,0,11,0,2,8,33,28,2,4,6,16,6,4,0,4,0,4,6,4,0,4,6,4,10,4,10,4,6,5,16,5,6,5,6,16,5,10,4,0,4
15,32,2,32,29,23,25,24,27,24,31,28,33,19,0,1,2,28,31,28,31,24,27,2,27,23,28,31,28,31,28,31,32,28,2,28,2,28,31,28,2,3,28,33,26,28,33,19,1,3,28
12,3,1,2,9,2,13,33,20,33,15,32,20,33,15,33,14,33,15,33,27,2,3,12,0,8,2,32,22,33,18,33,18,32,18,33,18,33,18,32,18,32,18,32,18,33,18,32,18,33,18
17,0,19,33,32,20,32,33,18,32,31,24,27,33,26,33,19,1,13,1,3,13,0,12,3,12,3,12,3,13,12,0,12,0,12,3,12,3,12,0,12,3,1,19,1,19,0,13,0,19,12
11,0,1,2,3,13,0,1,21,1,13,2,7,2,21,0,21,1,30,21,1,21,1,21,1,21,1,21,0,21,0,21,0,21,1,2,0,6,5,10,4,0,17,0,3,2,32,18,32,18,21
26,29,23,27,23,29,23,25,23,6,5,6,4,6,16,6,0,6,0,11,6,4,6,16,6,0,6,5,6,0,7,3,7,0,8,0,10,4,6,5,10,0,12,0,8,0,21,0,3,1,6
2,27,33,22,33,27,2,0,11,0,2,7,0,1,19,1,23,25,23,29,23,33,23,29,23,29,23,29,23,32,23,27,23,27,23,25,31,33,28,2,28,2,27,33,8,30,32,22,33,29,23
17,1,3,13,1,21,0,10,5,0,6,5,16,5,6,5,6,0,13,2,0,26,29,26,29,26,29,26,33,26,29,26,29,26,33,26,33,26,33,26,33,32,20,33,8,32,33,27,2,13,26
33,32,2,13,33,23,33,26,33,9,2,1,3,12,3,2,9,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,6,4,10,5,10,0,2,28,33,30,33,32,8,11
8,30,1,17,1,2,32,23,29,33,15,32,8,30,1,30,8,0,12,3,1,13,2,28,2,1,2,22,32,22,33,22,33,22,32,22,33,22,32,22,32,22,33,22,33,22,32,20,33,18,22
21,0,17,1,3,7,3,2,0,4,0,21,0,3,0,5,0,10,0,19,0,8,0,6,0,8,0,31,25,31,25,24,27,23,32,14,32,15,33,28,2,32,2,0,21,1,19,1,3,2,0
20,33,20,32,29,32,14,33,23,32,15,32,15,32,18,32,31,33,31,33,20,33,14,24,31,24,27,24,27,24,25,24,27,24,25,24,25,24,27,24,25,24,27,2,7,3,0,19,33,27,24
18,33,31,32,29,23,33,15,26,33,26,29,26,29,26,29,26,33,26,33,26,33,26,33,26,33,9,26,33,32,8,30,8,30,33,8,33,22,32,15,32,20,33,23,25,31,25,24,31,28,26
27,2,3,7,2,8,0,10,5,10,5,0,13,1,7,2,8,0,13,33,8,33,15,33,26,12,0,12,0,12,0,12,3,12,3,12,3,12,0,12,3,12,0,3,12,3,7,2,0,1,12
10,0,4,0,10,5,0,8,0,5,23,25,23,27,23,32,23,27,23,25,23,32,23,27,23,29,23,25,23,33,8,0,21,0,2,9,33,14,33,29,32,20,33,31,0,4,0,2,1,21,23
15,32,29,33,29,23,29,23,29,26,29,33,9,2,9,2,0,10,0,10,5,10,4,10,0,10,5,10,5,10,5,10,5,10,5,0,10,0,12,0,1,13,0,5,6,0,5,16,6,4,10
25,24,31,25,31,33,9,33,26,29,26,33,27,33,14,32,33,30,33,20,32,18,32,20,32,30,1,30,27,33,27,23,27,33,27,33,27,24,27,23,27,2,27,23,27,23,27,24,25,23,27
13,2,9,33,9,33,8,32,27,24,27,2,27,23,27,2,27,33,27,33,19,27,23,27,33,27,33,27,2,7,2,3,13,33,23,27,24,25,23,33,27,24,27,2,8,32,14,32,31,25,27
3,0,5,0,6,0,5,0,13,2,1,0,2,0,19,33,32,8,2,7,0,10,5,10,4,10,4,10,0,10,0,10,5,10,4,10,5,10,5,10,0,10,4,10,5,16,5,10,0,13,10
31,28,31,33,18,33,32,18,33,10,0,10,0,10,4,6,10,0,5,10,0,10,5,10,0,10,0,10,5,0,11,0,4,10,5,16,5,10,5,16,5,10,0,5,6,4,10,0,21,0,10
4,10,5,16,6,4,6,0,1,17,0,7,3,32,22,32,23,32,18,32,14,32,14,32,18,32,8,32,29,32,22,32,14,32,23,29,33,15,33,30,8,30,1,30,32,20,32,20,32,18,32
17,0,11,0,17,10,0,10,0,10,0,10,4,10,5,10,0,10,0,10,0,21,10,0,2,13,3,1,19,1,17,1,13,2,32,15,32,2,27,33,31,32,15,33,30,8,30,33,13,0,10
3,13,3,7,1,19,0,5,6,0,3,0,3,0,31,33,32,8,33,13,0,19,0,21,0,28,2,27,28,2,28,2,28,33,28,31,28,2,28,2,28,31,28,2,28,33,19,33,28,33,28
28,33,14,32,33,14,32,23,33,9,33,15,32,29,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,10,0,11,0,21,0,4,10,5,0,4,6,4,10,5,10,11
23,25,31,33,30,32,18,32,33,19,1,7,2,9,2,9,33,9,2,9,2,9,2,9,33,9,2,9,33,32,9,2,0,21,1,7,0,8,32,15,33,14,32,15,33,23,27,23,25,24,9
33,8,32,18,32,15,33,23,25,23,26,33,26,33,26,29,26,29,26,29,26,26,33,26,33,26,29,26,26,33,18,33,8,32,15,32,22,32,14,32,2,28,33,27,24,27,33,8,0,5,26
6,5,10,4,0,12,3,13,33,30,20,33,32,20,33,20,32,20,32,20,33,20,32,18,20,32,20,33,20,32,2,8,33,14,32,22,32,14,33,27,2,0,31,25,24,31,25,31,0,12,20
16,5,0,13,1,8,30,1,8,32,8,2,8,30,8,0,8,33,8,32,8,30,8,32,8,30,32,31,33,26,33,28,33,15,33,9,33,19,1,3,12,3,12,0,19,1,21,1,30,32,8
20,32,14,32,18,33,31,32,14,32,23,27,2,1,17,0,17,12,0,12,0,12,3,12,0,12,0,12,3,12,0,12,0,12,3,12,0,19,33,27,24,25,23,27,23,27,33,9,33,19,12
16,6,5,0,19,1,17,1,30,33,20,33,23,27,2,28,31,0,17,0,11,0,28,2,28,2,28,2,28,2,28,2,28,31,28,2,28,33,18,28,31,28,33,29,23,27,24,31,28,2,28
3,1,21,0,4,0,8,2,0,17,1,7,0,17,0,12,0,12,3,7,1,19,1,30,8,2,0,1,0,12,0,3,0,10,0,10,5,0,12,0,2,3,0,7,0,10,0,21,0,19,0
33,29,26,29,26,33,28,31,20,33,20,32,20,33,20,32,20,32,20,32,20,32,20,32,20,33,20,33,31,33,14,33,22,33,32,29,26,33,28,2,27,2,7,0,7,0,4,10,5,10,20
13,1,3,1,3,2,27,23,29,26,17,0,17,0,17,1,17,1,2,17,0,17,1,19,0,19,17,1,17,1,7,1,21,1,13,3,2,3,1,17,0,3,12,3,7,0,4,10,5,0,17
1,30,8,2,1,17,0,11,0,7,1,3,2,32,31,33,29,33,28,33,28,33,20,32,33,20,33,18,33,20,33,13,33,19,33,18,33,8,2,3,12,3,0,19,1,2,28,31,0,19,33
4,10,22,33,22,33,22,32,22,33,22,32,22,33,22,32,22,32,22,33,22,32,22,33,22,32,33,31,32,14,32,14,32,33,29,23,32,20,32,2,28,31,25,23,32,31,25,31,28,2,22
19,0,17,0,1,2,7,2,7,3,2,8,2,28,2,28,2,13,2,0,2,27,2,8,2,3,2,28,31,28,2,0,7,1,2,3,13,0,8,32,22,33,27,23,29,33,28,2,7,2,2
7,0,2,0,12,3,7,3,1,7,3,7,3,13,0,7,3,0,11,0,12,0,21,22,33,22,33,22,33,22,33,22,32,22,32,30,22,32,22,32,22,32,22,33,32,15,33,13,0,6,22
12,0,16,6,16,6,16,6,5,16,6,16,5,16,6,16,5,16,6,16,6,16,5,0,2,13,0,11,0,4,10,4,0,3,0,7,1,13,3,12,3,2,27,24,27,33,18,32,8,30,16
24,25,24,27,23,27,2,13,1,30,1,13,1,7,0,26,33,26,33,26,33,26,33,26,33,26,33,26,29,26,29,26,33,26,29,26,29,32,14,32,8,32,31,32,30,8,0,5,16,5,26
28,31,32,31,0,17,1,7,2,32,2,32,8,0,2,27,2,7,2,9,2,13,2,27,24,25,23,27,33,13,33,15,33,32,31,33,22,32,33,9,33,19,33,13,33,29,33,15,32,18,33
3,2,13,33,18,32,31,24,27,23,29,33,23,25,31,27,24,27,33,27,24,27,23,27,24,27,33,15,27,23,27,2,27,2,27,24,27,33,18,32,33,23,25,24,25,24,27,2,32,2,27
25,23,32,23,29,33,9,2,8,33,26,33,20,33,30,8,32,14,33,14,33,29,23,0,7,0,10,4,0,6,0,5,0,7,0,11,0,0,7,0,10,0,12,3,12,3,13,2,0,1,0
27,24,25,31,33,31,33,20,33,18,33,28,2,27,7,3,7,2,7,1,7,3,7,2,7,3,2,7,3,7,7,3,7,2,3,2,32,31,32,23,33,32,33,23,27,23,27,33,28,2,7
23,29,33,27,24,25,23,33,28,2,28,31,24,31,33,15,33,16,5,16,5,16,5,16,6,16,5,16,5,16,5,6,16,6,16,5,16,5,0,6,16,5,10,5,16,5,0,7,2,0,16
19,0,4,0,8,30,32,33,19,33,13,33,8,33,30,33,20,33,13,33,19,33,19,33,19,33,22,33,13,33,30,1,3,13,2,3,0,17,1,30,8,32,20,32,2,32,29,26,29,23,33
30,32,31,33,18,33,32,23,25,31,33,9,23,25,23,29,23,27,23,33,23,33,23,33,23,25,23,27,23,32,29,32,22,33,30,33,18,32,8,0,6,16,6,0,21,1,3,2,0,2,23
0,1,17,1,30,1,21,0,3,13,3,0,8,28,33,32,28,31,28,28,31,28,33,28,33,28,31,0,28,33,28,33,28,31,32,22,33,27,23,29,23,32,8,2,9,33,29,23,32,20,28
23,29,23,32,23,32,8,32,33,30,1,17,0,3,2,28,2,14,32,14,32,14,32,14,32,14,32,14,32,18,14,32,14,33,14,32,14,33,31,24,27,24,25,23,29,23,33,19,0,1,14
17,0,21,1,18,32,18,32,18,33,18,33,18,33,18,32,18,33,18,33,18,33,18,33,18,33,30,33,32,22,32,20,32,33,32,31,24,25,31,24,27,2,7,1,21,0,11,0,6,5,18
12,3,1,3,0,3,12,3,7,3,1,3,2,3,7,3,12,3,0,3,2,3,3,2,1,3,2,3,13,3,13,0,21,0,5,0,11,0,19,1,30,33,27,33,31,25,23,25,31,28,3
8,0,10,5,6,0,6,0,5,16,6,4,10,10,5,10,0,10,4,10,4,10,5,0,10,5,10,4,10,5,10,4,10,4,0,13,0,31,28,31,25,23,25,31,25,24,25,24,31,32,10
11,0,12,3,5,0,5,0,5,0,5,10,5,16,5,16,5,16,5,0,5,10,5,0,10,0,31,24,27,24,25,23,25,23,25,23,25,31,33,26,33,13,1,0,12,0,19,0,8,0,5
31,25,24,27,2,0,19,0,1,0,13,0,4,0,2,0,6,0,8,0,21,0,3,0,1,2,28,31,33,31,24,31,25,31,33,27,24,27,2,8,2,13,2,27,2,13,1,17,0,10,0
20,32,8,33,14,32,11,0,11,0,21,11,0,1,11,0,11,0,11,0,11,0,11,0,17,11,0,8,0,21,1,13,1,3,13,2,32,20,32,29,33,19,33,19,33,28,31,33,32,18,11
0,19,1,17,1,17,0,5,6,4,6,0,7,2,13,3,2,0,1,30,32,14,32,14,33,7,2,7,0,7,3,7,0,7,1,7,0,7,2,7,1,7,0,7,1,19,33,13,1,13,7
0,21,1,17,1,19,1,3,23,27,23,25,23,33,23,29,23,33,23,33,23,33,23,32,23,33,23,33,15,33,20,32,14,32,2,13,1,13,33,20,33,31,28,31,25,31,24,25,31,32,23
21,1,2,7,3,7,3,7,1,2,22,33,22,32,22,33,22,33,22,33,22,32,22,32,22,33,22,32,22,32,22,32,29,32,30,8,0,10,4,6,5,6,16,6,5,6,16,6,5,10,22
10,4,6,5,16,6,0,12,3,12,3,1,0,21,0,12,0,13,0,8,32,8,30,8,32,8,33,8,0,8,2,8,0,8,33,8,0,8,0,12,0,10,4,0,4,10,0,3,7,0,8
27,24,27,24,25,26,29,26,33,26,29,26,33,26,33,26,29,26,33,26,33,26,33,26,33,32,29,26,33,28,33,27,33,31,28,31,0,12,3,13,0,7,3,0,11,0,10,0,3,7,26
17,0,13,2,27,23,27,23,33,23,32,23,29,23,32,23,33,23,32,23,32,23,29,23,32,23,29,26,33,22,33,19,1,21,0,13,33,15,33,26,29,33,13,3,0,12,0,8,33,26,23
21,1,2,1,3,0,4,10,0,29,32,29,33,29,26,29,26,29,23,29,33,29,23,29,26,29,26,29,32,18,33,29,32,15,32,2,27,23,33,28,33,26,29,32,2,7,0,6,0,3,29
30,1,0,13,33,26,29,23,33,28,31,0,11,0,11,0,5,6,16,5,10,11,0,11,0,11,11,0,11,0,11,0,11,11,0,11,0,11,0,11,0,10,5,10,0,31,28,2,28,33,11
24,27,23,33,23,25,24,27,33,8,32,30,32,30,32,14,32,23,25,31,25,24,17,1,17,1,17,0,17,1,17,1,17,0,17,0,17,1,17,0,17,1,21,1,19,1,0,11,0,1,17
14,33,13,0,10,5,16,6,16,5,6,5,10,0,2,27,24,23,29,23,32,23,32,23,25,23,33,23,25,23,25,23,29,23,29,33,14,33,29,33,13,33,30,8,32,31,0,13,3,7,23
18,33,9,2,7,2,32,20,5,10,5,10,5,0,5,0,5,0,5,0,7,5,0,2,5,10,5,5,0,10,5,0,11,0,12,0,2,32,23,33,18,32,23,29,33,9,2,1,7,3,5
2,8,32,23,25,23,29,23,27,33,29,32,14,33,28,2,32,31,32,33,26,29,33,33,26,33,28,33,28,33,22,33,18,33,28,33,14,33,19,0,4,10,4,6,0,11,0,7,0,2,33
4,10,5,0,4,15,33,15,33,15,33,15,32,15,33,15,32,15,32,15,32,15,33,15,32,14,33,31,33,30,32,20,33,32,30,8,30,8,32,23,25,24,25,24,31,28,2,27,23,32,15
15,33,9,33,30,1,17,1,21,0,4,10,4,10,26,29,26,29,26,29,26,29,26,33,26,29,26,29,26,29,26,29,26,33,26,33,31,0,10,5,16,6,16,6,0,13,33,19,33,30,26
6,4,6,5,0,8,33,30,1,7,1,7,1,17,1,30,8,30,8,2,32,2,28,2,5,0,5,16,5,10,5,6,5,16,5,10,5,0,5,10,5,6,5,10,4,6,16,6,4,0,5
4,6,0,5,10,4,10,0,7,3,1,2,3,0,1,30,32,23,32,8,0,2,9,2,8,32,9,33,9,2,9,2,9,2,9,2,9,33,9,2,9,33,29,32,33,8,30,32,31,24,9
12,3,1,26,29,26,29,23,26,29,26,29,26,29,26,29,26,29,26,29,26,33,26,29,33,32,2,28,31,24,31,0,21,0,2,27,2,27,23,32,14,32,23,25,24,27,24,27,2,3,26
15,33,22,32,23,25,24,27,33,20,32,8,2,9,2,3,13,3,12,3,7,3,13,3,13,3,12,3,13,3,12,3,7,3,13,0,7,0,21,0,10,4,10,5,6,0,11,0,17,0,3
26,29,32,33,15,32,15,33,8,0,12,3,13,0,3,13,3,7,0,12,3,7,2,28,33,30,33,9,33,26,33,26,33,20,33,27,33,26,33,18,33,27,33,28,33,19,1,21,0,19,33
11,0,3,0,2,1,21,0,8,32,8,32,18,33,20,32,30,8,2,7,3,2,27,23,33,23,33,23,27,23,29,23,27,23,29,23,32,29,23,32,23,27,23,29,32,22,32,15,32,2,23
32,33,15,32,30,8,30,8,30,1,0,30,8,30,33,30,33,30,32,30,1,30,32,30,32,20,33,32,15,33,9,2,8,2,9,33,32,14,33,8,2,13,33,30,33,20,33,20,33,22,30
0,4,10,0,4,0,11,0,31,28,23,27,23,27,23,25,31,23,32,23,29,23,33,23,29,23,23,29,23,25,31,28,31,24,27,24,27,23,29,33,32,23,25,23,27,23,33,27,24,31,23
1,0,11,0,21,0,2,32,30,32,29,26,33,29,26,29,33,29,33,19,0,10,0,20,33,20,33,20,33,20,32,20,33,20,33,20,33,20,32,20,33,20,33,30,8,2,9,33,32,33,20
11,0,16,6,16,6,16,6,16,5,16,6,16,6,16,6,0,5,16,6,16,6,4,0,17,1,7,0,3,1,30,8,0,2,13,2,1,19,1,2,1,7,2,9,2,1,13,0,10,4,16
26,33,27,23,29,32,29,33,9,2,13,33,30,32,3,13,3,0,3,1,3,2,3,7,3,1,3,13,3,0,17,3,1,3,12,0,5,10,0,31,25,23,29,26,29,26,29,32,8,0,3
10,0,12,3,7,2,19,0,5,10,19,33,19,33,19,33,19,33,9,19,33,19,0,19,33,19,1,7,2,27,33,8,32,31,24,31,28,33,22,33,26,29,26,29,23,25,31,24,27,23,19
12,0,3,7,1,3,2,7,2,27,2,9,2,8,0,8,30,8,2,8,32,8,2,8,0,8,33,8,2,8,2,8,2,28,2,7,2,9,33,29,26,33,8,2,9,33,18,33,18,32,8
25,23,27,23,33,28,2,32,5,0,8,5,10,5,10,5,6,5,6,5,10,5,16,5,16,5,16,5,10,4,10,0,2,3,0,17,1,0,7,3,2,9,33,28,33,20,32,22,33,14,5
7,1,7,1,13,2,7,1,3,1,2,7,2,8,2,32,33,26,29,32,30,1,3,18,33,18,32,18,33,18,32,18,32,18,33,18,32,18,33,18,33,18,32,8,0,6,4,0,4,0,18
